"URT Data for 23 Cities, 2015-2024",,,,,,,,,,,
Year,DMU,"Number of
 assigned vehicles (List)","Operating kilometers 
(10,000 vehicle kilometers)","Total operational energy consumption 
(Thousand kilowatt-hours)","Passenger traffic volume
(Ten thousand people)",CE (×10^4 tCO2),GDP (Billion yuan), route length (Km),"Average daily number of 
actual transactions (train trips)",,
2015,Beijing,839,50909 ,158585 ,341610 ,88.49 ,24779 ,631 ,7539,,
2016,Beijing,844,54357 ,134254 ,365929 ,74.91 ,27041 ,650 ,7814,,
2017,Beijing,835,56737 ,181776 ,377791 ,101.43 ,29883 ,685 ,8194,,
2018,Beijing,977,59760 ,148645 ,384842 ,82.94 ,33106 ,713 ,9240,,
2019,Beijing,1050,65592 ,204845 ,396235 ,114.30 ,35445 ,772 ,10278,,
2020,Beijing,1108,67257 ,218122 ,229398 ,121.71 ,35943 ,799 ,10367,,
2021,Beijing,1165,66272 ,214994 ,306782 ,119.97 ,41046 ,856 ,10573,,
2022,Beijing,1189,68728 ,218362 ,226298 ,121.85 ,41541 ,868 ,9723,,
2023,Beijing,1207,74397 ,237038 ,345294 ,132.27 ,43761 ,907 ,10033,,
2024,Beijing,1282,76552 ,244559 ,362127 ,136.46 ,49843 ,952 ,11046,,
2015,Tianjin,113,6199 ,26475 ,28715 ,18.64 ,10880 ,147 ,1038,,
2016,Tianjin,176,6758 ,30504 ,30855 ,21.48 ,11477 ,175 ,1248,,
2017,Tianjin,157,8404 ,36330 ,35155 ,25.58 ,12451 ,175 ,1386,,
2018,Tianjin,219,10036 ,36789 ,40853 ,25.90 ,13363 ,227 ,1752,,
2019,Tianjin,224,10842 ,52017 ,52644 ,36.63 ,14055 ,239 ,1875,,
2020,Tianjin,224,13669 ,52498 ,33895 ,36.96 ,14008 ,239 ,1817,,
2021,Tianjin,258,14674 ,55011 ,46459 ,38.73 ,15685 ,272 ,2728,,
2022,Tianjin,280,17365 ,61658 ,31937 ,43.41 ,16132 ,293 ,2416,,
2023,Tianjin,287,19536 ,71340 ,57133 ,50.23 ,16737 ,306 ,3050,,
2024,Tianjin,318,20921 ,74945 ,64140 ,52.77 ,18024 ,335 ,3623,,
2015,Wuxi,46,2937 ,13262 ,7225 ,7.93 ,8681 ,56 ,528,,
2016,Wuxi,46,3081 ,13314 ,8267 ,7.96 ,9340 ,56 ,550,,
2017,Wuxi,46,3141 ,13328 ,9234 ,7.97 ,10313 ,56 ,560,,
2018,Wuxi,46,3189 ,13338 ,10312 ,7.97 ,11203 ,56 ,506,,
2019,Wuxi,51,3336 ,11103 ,10966 ,6.64 ,11803 ,59 ,584,,
2020,Wuxi,75,3319 ,11945 ,8722 ,7.14 ,12340 ,87 ,780,,
2021,Wuxi,97,5084 ,20661 ,14615 ,12.35 ,14123 ,111 ,1136,,
2022,Wuxi,104,5981 ,24311 ,11955 ,14.53 ,14751 ,111 ,1121,,
2023,Wuxi,104,6493 ,25039 ,18456 ,14.97 ,15456 ,111 ,117,,
2024,Wuxi,136,8041 ,25992 ,24207 ,15.54 ,16263 ,141 ,1442,,
2015,Suzhou,48,2711 ,6660 ,13633 ,3.98 ,14469 ,70 ,641,,
2016,Suzhou,88,3987 ,15222 ,15058 ,9.10 ,15445 ,86 ,909,,
2017,Suzhou,136,6290 ,29674 ,24841 ,17.74 ,16997 ,138 ,1566,,
2018,Suzhou,167,8583 ,32913 ,32807 ,19.68 ,18263 ,165 ,1777,,
2019,Suzhou,218,7648 ,34042 ,40167 ,20.35 ,19265 ,210 ,1794,,
2020,Suzhou,221,12101 ,47485 ,30918 ,28.39 ,20180 ,210 ,2198,,
2021,Suzhou,262,14664 ,56994 ,40300 ,34.07 ,23168 ,254 ,2038,,
2022,Suzhou,272,16291 ,64027 ,33852 ,38.28 ,23805 ,254 ,2812,,
2023,Suzhou,320,18529 ,66169 ,53118 ,39.56 ,24653 ,301 ,3344,,
2024,Suzhou,408,22865 ,74370 ,63794 ,44.46 ,26727 ,398 ,4417,,
2015,Shanghai,643,44514 ,172509 ,306798 ,100.90 ,26887 ,683 ,6600,,
2016,Shanghai,656,49341 ,182882 ,340106 ,106.97 ,29887 ,683 ,6914,,
2017,Shanghai,731,50878 ,194190 ,353769 ,113.58 ,32925 ,732 ,7431,,
2018,Shanghai,829,56777 ,205201 ,384842 ,120.02 ,36012 ,785 ,8104,,
2019,Shanghai,913,62174 ,195349 ,396235 ,114.26 ,37988 ,810 ,8105,,
2020,Shanghai,1038,64317 ,225349 ,283649 ,131.81 ,38963 ,834 ,8338,,
2021,Shanghai,1205,71147 ,253788 ,358105 ,148.44 ,43653 ,936 ,9833,,
2022,Shanghai,1186,63512 ,252908 ,228792 ,147.93 ,44809 ,936 ,9477,,
2023,Shanghai,1210,78810 ,276898 ,366907 ,161.96 ,47219 ,967 ,10229,,
2024,Shanghai,1282,80524 ,274906 ,377380 ,160.79 ,53927 ,1032 ,10125,,
2015,Ningbo,46,1602 ,10192 ,3776 ,5.25 ,8295 ,49 ,538,,
2016,Ningbo,61,4458 ,18941 ,9968 ,9.76 ,8973 ,75 ,620,,
2017,Ningbo,61,3141 ,19349 ,11233 ,9.97 ,10147 ,75 ,628,,
2018,Ningbo,61,5529 ,20078 ,12437 ,10.35 ,11193 ,75 ,711,,
2019,Ningbo,88,5694 ,21858 ,16732 ,11.26 ,12035 ,97 ,1162,,
2020,Ningbo,150,6183 ,25882 ,15986 ,13.34 ,12599 ,154 ,1523,,
2021,Ningbo,179,11863 ,38347 ,25854 ,19.76 ,14703 ,182 ,2483,,
2022,Ningbo,179,14306 ,46011 ,25656 ,23.71 ,15716 ,182 ,2361,,
2023,Ningbo,179,15110 ,46881 ,36735 ,24.16 ,16453 ,185 ,2517,,
2024,Ningbo,190,15778 ,47988 ,38808 ,24.73 ,18148 ,194 ,2585,,
2015,Nanjing,201,13294 ,42888 ,71666 ,25.64 ,10016 ,232 ,1941,,
2016,Nanjing,201,14376 ,44641 ,83068 ,26.69 ,10819 ,232 ,2050,,
2017,Nanjing,280,17069 ,52892 ,97741 ,31.62 ,11894 ,364 ,2811,,
2018,Nanjing,311,20719 ,65214 ,111881 ,38.99 ,13009 ,394 ,3634,,
2019,Nanjing,291,22138 ,66561 ,115224 ,39.79 ,14045 ,394 ,3305,,
2020,Nanjing,291,21207 ,64771 ,79785 ,38.72 ,14783 ,394 ,3140,,
2021,Nanjing,322,22321 ,67773 ,87935 ,40.51 ,16290 ,443 ,3548,,
2022,Nanjing,362,24114 ,74766 ,76681 ,44.70 ,16776 ,466 ,3832,,
2023,Nanjing,410,27623 ,83747 ,100999 ,50.06 ,17421 ,476 ,4130,,
2024,Nanjing,460,29169 ,91511 ,109352 ,54.71 ,18501 ,500 ,4647,,
2015,Hangzhou,78,2125 ,22191 ,22346 ,11.44 ,10495 ,81 ,961,,
2016,Hangzhou,78,2268 ,24528 ,26877 ,12.64 ,11709 ,82 ,991,,
2017,Hangzhou,121,7069 ,27339 ,33987 ,14.09 ,13161 ,104 ,1164,,
2018,Hangzhou,135,9842 ,36291 ,52985 ,18.70 ,14307 ,115 ,1309,,
2019,Hangzhou,174,11996 ,41956 ,63402 ,21.62 ,15419 ,131 ,1808,,
2020,Hangzhou,325,15506 ,57439 ,58241 ,29.60 ,16207 ,301 ,2862,,
2021,Hangzhou,387,25386 ,97854 ,89837 ,50.42 ,18247 ,342 ,3067,,
2022,Hangzhou,553,36015 ,125445 ,96365 ,64.64 ,18955 ,516 ,4808,,
2023,Hangzhou,558,41594 ,131472 ,138357 ,67.75 ,20059 ,516 ,4922,,
2024,Hangzhou,558,41479 ,138367 ,146984 ,71.30 ,21860 ,516 ,4937,,
2015,Chongqing,177,13116 ,42834 ,63247 ,22.39 ,16041 ,202 ,2156,,
2016,Chongqing,196,13836 ,44918 ,69343 ,23.48 ,18023 ,213 ,2241,,
2017,Chongqing,224,14651 ,46345 ,74310 ,24.22 ,20066 ,264 ,2381,,
2018,Chongqing,305,17868 ,58844 ,85797 ,30.76 ,21589 ,313 ,3200,,
2019,Chongqing,327,21522 ,72130 ,104187 ,37.70 ,23606 ,329 ,3319,,
2020,Chongqing,328,23470 ,78704 ,83975 ,41.14 ,25041 ,343 ,3427,,
2021,Chongqing,374,28093 ,89006 ,109709 ,46.52 ,28077 ,385 ,4135,,
2022,Chongqing,440,28760 ,98495 ,91093 ,51.48 ,28576 ,478 ,4111,,
2023,Chongqing,490,33637 ,100097 ,132583 ,52.32 ,30146 ,538 ,4488,,
2024,Chongqing,514,35233 ,106844 ,141649 ,55.85 ,32193 ,538 ,4399,,
2015,Chengdu,122,5657 ,24784 ,33933 ,3.48 ,10662 ,180 ,1287,,
2016,Chengdu,161,9316 ,39292 ,56217 ,5.52 ,11874 ,200 ,1566,,
2017,Chengdu,236,11637 ,47690 ,78212 ,6.70 ,13931 ,269 ,2432,,
2018,Chengdu,316,17190 ,71254 ,115756 ,10.00 ,15699 ,330 ,2643,,
2019,Chengdu,446,20359 ,84111 ,140012 ,11.81 ,17011 ,436 ,3093,,
2020,Chengdu,672,28227 ,121401 ,121962 ,17.04 ,17838 ,652 ,5062,,
2021,Chengdu,696,47259 ,196708 ,180181 ,27.62 ,19962 ,652 ,3611,,
2022,Chengdu,696,46826 ,186896 ,157176 ,26.24 ,20789 ,652 ,5301,,
2023,Chengdu,741,50147 ,191421 ,212191 ,26.88 ,22075 ,696 ,6017,,
2024,Chengdu,781,52672 ,201924 ,220898 ,28.35 ,23511 ,784 ,6294,,
